fluorophore,synonym1,synonym2,synonym3,channel.Aurora,channel.NL,channel.ID7000,channel.s8,channel.opteon,channel.mosaic,channel.xenith,channel.A5SE,excitation.laser,nominal.wavelength,is.viability
7-AAD,7AAD,7-Aminoactinomycin D,,YG-4,B7-A,561CH18-A,YG5 (655)-A,Y661-A,Y5-A,FL35-A,YG660-A,YG,647,TRUE
Alexa Fluor 350,AF350,,,UV6-A,V2-A,355CH2-A,UV4 (440)-A,UV440-A,U4-A,FL10-A,UV446-A,UV,441,
Alexa Fluor 405,AF405,,,V2-A,V2-A,405CH1-A,V1 (420)-A,V424-A,V1-A,FL16-A,V427-A,Violet,422,
Alexa Fluor 488,AF488,,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,Blue,520,
Alexa Fluor 532,AF532,,,B3-A,B3-A,488CH8-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,Blue,553,
Alexa Fluor 568,AF568,,,YG3-A,V10-A,561CH13-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YellowGreen,603,
Alexa Fluor 594,AF594,,,YG3-A,V10-A,561CH14-A,YG4 (625)-A,Y618-A,Y4-A,FL33-A,YG602-A,YellowGreen,618,
Alexa Fluor 647,AF647,,,R2-A,R2-A,637CH19-A,R2 (675)-A,R681-A,R2-A,FL46-A,R675-A,Red,671,
Alexa Fluor 660,AF660,,,R3-A,R3-A,637CH21-A,R3 (700)-A,R700-A,R3-A,FL47-A,R675-A,Red,691,
Alexa Fluor 680,AF680,,,R4-A,R4-A,637CH22-A,R3 (700)-A,R700-A,R3-A,FL47-A,R680-A,Red,704,
Alexa Fluor 700,AF700,,,R4-A,R4-A,637CH23-A,R4 (725)-A,R717-A,R4-A,FL43-A,R710-A,Red,719,
AmCyan,Amcyan,,,V5-A,V5-A,405CH4-A,V5 (500)-A,V508-A,V5-A,FL13-A,V510-A,Violet,498,
APC,APC,,,R1-A,R1-A,637CH18-A,R1 (655)-A,R681-A,R1-A,FL46-A,R660-A,Red,660,
APC-Cy5.5,APC Cy5.5,APCCy5.5,,R3-A,R3-A,637CH21-A,R3 (700)-A,R700-A,R3-A,FL47-A,R710-A,Red,700,
APC-Cy7,APC Cy7,APCCy7,,R7-A,R7-A,637CH29-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,Red,774,
APC-eFluor 780,APCe780,APC-eFluor780,APC-e780,R7-A,R7-A,637CH29-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,Red,785,
APC-Fire 750,APC Fire 750,APC-Fire750,,R7-A,R7-A,637CH29-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,Red,774,
APC-Fire 810,APC Fire 810,APC-Fire810,,R8-A,R8-A,637CH32-A,R7 (810)-A,R815-A,R7-A,FL48-A,R780-A,Red,807,
APC-H7,APC H7,APCH7,,R7-A,R7-A,637CH30-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,Red,785,
APC-R700,APC R700,APCR700,,R4-A,R4-A,637CH23-A,R4 (725)-A,R717-A,R4-A,FL43-A,R710-A,Red,705,
APC-Vio770,APC Vio770,APCVio770,,R7-A,R7-A,637CH28-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,Red,775,
BB515,Brilliant Blue 515,,,B1-A,B1-A,488CH5-A,B2 (515)-A,B508-A,B1-A,FL37-A,B510-A,Blue,515,
BB630,Brilliant Blue 630,BB630-P,,B6-A,B6-A,488CH14-A,B8 (625)-A,B618-A,B7-A,FL39-A,B602-A,Blue,630,
BB660,Brilliant Blue 660,BB660-P,BB660-P2,B7-A,B7-A,488CH18-A,B9 (655)-A,B661-A,B8-A,FL42-A,B660-A,Blue,660,
BB700,Brilliant Blue 700,,,B9-A,B9-A,488CH21-A,B11 (700)-A,B700-A,B10-A,FL41-A,B710-A,Blue,700,
BB755,Brilliant Blue 755,BB755-P,,B12-A,B12-A,488CH27-A,B13 (750)-A,B757-A,B12-A,FL40-A,B750-A,Blue,755,
BB790,Brilliant Blue 790,BB790-P,,B14-A,B14-A,488CH30-A,B14 (780)-A,B784-A,B13-A,FL40-A,B810-A,Blue,790,
BUV395,Brilliant UV395,Brilliant Ultraviolet 395,,UV2-A,V1-A,355CH1-A,UV3 (420)-A,UV380-A,U3-A,FL08-A,UV379-A,UV,399,
BUV496,Brilliant UV496,Brilliant Ultraviolet 496,,UV7-A,V5-A,355CH5-A,UV7 (500)-A,UV508-A,U7-A,FL06-A,UV515-A,UV,496,
BUV563,Brilliant UV563,Brilliant Ultraviolet 563,,UV9-A,B4-A,355CH11-A,UV11 (575)-A,UV582-A,U9-A,FL04-A,UV585-A,UV,563,
BUV615,Brilliant UV615,Brilliant Ultraviolet 615,,UV10-A,V10-A,355CH14-A,UV13 (605)-A,UV618-A,U10-A,FL03-A,UV610-A,UV,615,
BUV661,Brilliant UV661,Brilliant Ultraviolet 661,,UV11-A,R2-A,355CH18-A,UV15 (655)-A,UV661-A,U11-A,FL00-A,UV660-A,UV,661,
BUV737,Brilliant UV737,Brilliant Ultraviolet 737,,UV14-A,R5-A,355CH25-A,UV18 (725)-A,UV735-A,U14-A,FL01-A,UV736-A,UV,737,
BUV805,Brilliant UV805,Brilliant Ultraviolet 805,,UV16-A,R8-A,355CH31-A,UV21 (810)-A,UV815-A,U17-A,FL02-A,UV809-A,UV,805,
BV421,Brilliant Violet 421,B421,,V1-A,V1-A,405CH1-A,V1 (420)-A,V424-A,V1-A,FL16-A,V427-A,Violet,423,
BV480,Brilliant Violet 480,B480,,V5-A,V5-A,405CH4-A,V4 (475)-A,V469-A,V4-A,FL18-A,V470-A,Violet,478,
BV510,Brilliant Violet 510,B510,,V7-A,V7-A,405CH7-A,V6 (515)-A,V508-A,V5-A,FL13-A,V510-A,Violet,510,
BV570,Brilliant Violet 570,B570,,V8-A,V8-A,405CH11-A,V9 (575)-A,V582-A,V8-A,FL12-A,V576-A,Violet,570,
BV605,Brilliant Violet 605,B605,,V10-A,V10-A,405CH13-A,V11 (605)-A,V600-A,V9-A,FL23-A,V615-A,Violet,605,
BV650,Brilliant Violet 650,B650,,V11-A,V11-A,405CH18-A,V13 (655)-A,V661-A,V11-A,FL22-A,V660-A,Violet,650,
BV711,Brilliant Violet 711,B711,,V13-A,V13-A,405CH23-A,V15 (700)-A,V717-A,V13-A,FL21-A,V710-A,Violet,711,
BV750,Brilliant Violet 750,B750,,V14-A,V14-A,405CH26-A,V17 (750)-A,V757-A,V15-A,FL19-A,V750-A,Violet,750,
BV785,Brilliant Violet 785,B785,,V15-A,V15-A,405CH30-A,V18 (780)-A,V784-A,V17-A,FL20-A,V785-A,Violet,785,
BV786,Brilliant Violet 786,B786,,V15-A,V15-A,405CH30-A,V18 (780)-A,V784-A,V17-A,FL20-A,V785-A,Violet,786,
DyLight 680,DL680,Dylight 680,,R4-A,R4-A,637CH22-A,R3 (700)-A,R717-A,R3-A,FL47-A,R680-A,Red,680,
DyLight 800,DL800,Dylight 800,,R8-A,R8-A,637CH31-A,R7 (810)-A,R815-A,R7-A,FL48-A,R780-A,Red,800,
eFluor 450,e450,,,V3-A,V3-A,405CH2-A,V2 (440)-A,V440-A,V2-A,FL15-A,V450-A,Violet,445,
eFluor 506,e506,,,V7-A,V7-A,405CH4-A,V6 (515)-A,V508-A,V5-A,FL13-A,V510-A,Violet,508,
eFluor 660,e660,,,R2-A,R2-A,637CH18-A,R2 (675)-A,R681-A,R2-A,FL46-A,R675-A,Red,668,
eFluor 780,e780,fixable viability dye eFluor 780,,R7-A,R7-A,637CH29-A,R6 (780)-A,R784-A,R6-A,FL44-A,R780-A,Red,780,TRUE
FITC,Fluorescein,,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,Blue,517,
FVS575V,FVS 575V,Fixable Viability Stain 575V,,V8-A,V8-A,405CH7-A,V8 (545)-A,V582-A,V7-A,FL14-A,V576-A,Violet,575,TRUE
GFP,Green Fluorescent Protein,EGFP,,B1-A,B1-A,488CH5-A,B1 (500)-A,B508-A,B1-A,FL37-A,B510-A,Blue,510,
KIRAVIA Blue 520,KB520,,,B2-A,B2-A,488CH6-A,B2 (515)-A,B525-A,B1-A,FL37-A,B510-A,Blue,520,
Live-Dead Blue,Live Dead Blue,LiveDead Blue,,UV6-A,V2-A,355CH2-A,UV4 (440)-A,UV455-A,U4-A,FL10-A,UV446-A,UV,450,TRUE
mCherry,,,,YG3-A,B6-A,561CH13-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YellowGreen,610,
NovaFluor Blue 510,,,,B1-A,B1-A,488CH5-A,B1 (500)-A,B508-A,B1-A,FL37-A,B510-A,Blue,510,
NovaFluor Blue 530,,,,B2-A,B2-A,488CH7-A,B3 (530)-A,B525-A,B2-A,FL37-A,B537-A,Blue,530,
NovaFluor Blue 555,,,,B3-A,B3-A,488CH9-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,Blue,555,
NovaFluor Blue 585,,,,B4-A,B4-A,488CH11-A,B6 (590)-A,B582-A,B5-A,FL38-A,B576-A,Blue,585,
NovaFluor Blue 610-30S,,,,B6-A,B6-A,488CH14-A,B7 (605)-A,B618-A,B6-A,FL39-A,B602-A,Blue,610,
NovaFluor Blue 610-70S,,,,B6-A,B6-A,488CH14-A,B7 (605)-A,B618-A,B6-A,FL39-A,B602-A,Blue,610,
NovaFluor Blue 660-120S,,,,B7-A,B7-A,488CH18-A,B9 (655)-A,B661-A,B8-A,FL42-A,B660-A,Blue,660,
NovaFluor Blue 660-40S,,,,B7-A,B7-A,488CH18-A,B9 (655)-A,B661-A,B8-A,FL42-A,B660-A,Blue,660,
NovaFluor Blue 690,,,,B9-A,B9-A,488CH20-A,B11 (700)-A,B681-A,B10-A,FL41-A,B675-A,Blue,690,
NovaFluor Blue 725,,,,B10-A,B10-A,488CH24-A,B12 (725)-A,B717-A,B11-A,FL41-A,B710-A,Blue,725,
NovaFluor Blue 760,,,,B13-A,B13-A,488CH27-A,B13 (750)-A,B757-A,B12-A,FL40-A,B750-A,Blue,760,
NovaFluor Blue 800,,,,B14-A,B14-A,488CH30-A,B15 (810)-A,B815-A,B14-A,FL40-A,B810-A,Blue,800,
NovaFluor Red 660,,,,R2-A,R2-A,637CH18-A,R2 (675)-A,R681-A,R2-A,FL46-A,R660-A,Red,660,
NovaFluor Red 685,,,,R3-A,R3-A,637CH20-A,R3 (700)-A,R700-A,R3-A,FL47-A,R680-A,Red,685,
NovaFluor Red 700,,,,R4-A,R4-A,637CH21-A,R3 (700)-A,R717-A,R3-A,FL47-A,R710-A,Red,700,
NovaFluor Red 710,,,,R4-A,R4-A,637CH23-A,R3 (700)-A,R717-A,R3-A,FL47-A,R710-A,Red,710,
NovaFluor Red 725,,,,R5-A,R5-A,637CH24-A,R4 (725)-A,R735-A,R4-A,FL43-A,R730-A,Red,725,
NovaFluor Red 755,,,,R7-A,R7-A,637CH27-A,R5 (750)-A,R784-A,R5-A,FL45-A,R780-A,Red,755,
NovaFluor UV 765,,,,UV15-A,V15-A,355CH28-A,UV19 (750)-A,UV757-A,U15-A,FL01-A,UV736-A,UV,765,
NovaFluor Violet 690,,,,V12-A,V12-A,405CH21-A,V15 (700)-A,V681-A,V13-A,FL21-A,V680-A,Violet,690,
NovaFluor Violet 745,,,,V14-A,V14-A,405CH25-A,V17 (750)-A,V735-A,V15-A,FL19-A,V750-A,Violet,745,
NovaFluor Violet 800,,,,V16-A,V16-A,405CH32-A,V19 (810)-A,V815-A,V18-A,FL20-A,V845-A,Violet,800,
NovaFluor Yellow 570,,,,YG1-A,B4-A,561CH10-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YellowGreen,570,
NovaFluor Yellow 590,,,,YG2-A,B5-A,561CH12-A,YG2 (590)-A,Y600-A,Y2-A,FL32-A,YG585-A,YellowGreen,590,
NovaFluor Yellow 610,,,,YG3-A,B6-A,561CH14-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YellowGreen,610,
NovaFluor Yellow 660,,,,YG4-A,R2-A,561CH18-A,YG5 (655)-A,Y661-A,Y5-A,FL35-A,YG660-A,YellowGreen,660,
NovaFluor Yellow 690,,,,YG6-A,R3-A,561CH20-A,YG7 (700)-A,Y681-A,Y6-A,FL26-A,YG695-A,YellowGreen,690,
NovaFluor Yellow 700,,,,YG7-A,B9-A,561CH22-A,YG7 (700)-A,Y700-A,Y6-A,FL26-A,YG695-A,YellowGreen,700,
NovaFluor Yellow 730,,,,YG7-A,R5-A,561CH24-A,YG8 (725)-A,Y735-A,Y7-A,FL25-A,YG730-A,YellowGreen,730,
NovaFluor Yellow 755,,,,YG9-A,R7-A,561CH26-A,YG9 (750)-A,Y757-A,Y8-A,FL28-A,YG750-A,YellowGreen,755,
NovaFluor Yellow 810,,,,YG10-A,B14-A,561CH30-A,YG11 (810)-A,Y815-A,Y10-A,FL27-A,YG825-A,YellowGreen,810,
Pacific Blue,PB,PacBlue,,V3-A,V3-A,405CH2-A,V3 (460)-A,V455-A,V3-A,FL17-A,V450-A,Violet,455,
Pacific Orange,PO,PacOrange,,V8-A,V8-A,405CH7-A,V8 (545)-A,V543-A,V7-A,FL14-A,V540-A,Violet,551,
PE,Phycoerythrin,R-PE,,YG1-A,B4-A,561CH11-A,YG1 (575)-A,Y582-A,Y1-A,FL31-A,YG585-A,YellowGreen,576,
PE-Alexa Fluor 610,PE Alexa Fluor 610,PE-AF610,,YG3-A,B6-A,561CH14-A,YG4 (625)-A,Y618-A,Y4-A,FL33-A,YG602-A,YellowGreen,627,
PE-Alexa Fluor 700,PE Alexa Fluor 700,PE-AF700,,YG7-A,B10-A,561CH24-A,YG8 (725)-A,Y717-A,Y7-A,FL25-A,YG730-A,YellowGreen,719,
PE-CF594,PE CF594,PECF594,,YG3-A,B6-A,561CH14-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YellowGreen,594,
PE-Cy5,PE Cy5,PECy5,,YG5-A,B8-A,561CH19-A,YG5 (655)-A,Y661-A,Y5-A,FL35-A,YG670-A,YellowGreen,670,
PE-Cy5.5,PE Cy5.5,PECy55,,YG7-A,B9-A,561CH21-A,YG7 (700)-A,Y700-A,Y6-A,FL26-A,YG695-A,YellowGreen,695,
PE-Cy7,PE Cy7,PECy7,,YG9-A,B13-A,561CH29-A,YG10 (780)-A,Y784-A,Y9-A,FL28-A,YG780-A,YellowGreen,774,
PE-Dazzle 594,PE Dazzle 594,PE-Dazzle594,,YG3-A,B6-A,561CH14-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YellowGreen,610,
PE-eFluor 610,PE eFluor 610,PE-eFluor610,,YG3-A,B6-A,561CH13-A,YG3 (605)-A,Y618-A,Y3-A,FL34-A,YG602-A,YellowGreen,606,
PE-Fire 640,PE Fire 640,PE-Fire640,,YG4-A,B7-A,561CH18-A,YG4 (625)-A,Y661-A,Y4-A,FL33-A,YG660-A,YellowGreen,639,
PE-Fire 700,PE Fire 700,PE-Fire700,,YG7-A,B9-A,561CH21-A,YG7 (700)-A,Y700-A,Y6-A,FL26-A,YG695-A,YellowGreen,695,
PE-Fire 744,PE Fire 744,PE-Fire744,,YG8-A,B12-A,561CH25-A,YG9 (750)-A,Y757-A,Y8-A,FL28-A,YG750-A,YellowGreen,744,
PE-Fire 810,PE Fire 810,PE-Fire810,,YG10-A,B14-A,561CH31-A,YG11 (810)-A,Y815-A,Y10-A,FL27-A,YG825-A,YellowGreen,806,
PerCP,PerCP,PERCP,,B8-A,B8-A,488CH19-A,B10 (675)-A,B661-A,B9-A,FL42-A,B675-A,Blue,675,
PerCP-Cy5.5,PerCP Cy5.5,PerCPCy5.5,,B9-A,B9-A,488CH21-A,B11 (700)-A,B681-A,B10-A,FL41-A,B710-A,Blue,690,
PerCP-eFluor 710,PerCP eFluor 710,PerCP-eFluor710,,B10-A,B10-A,488CH23-A,B11 (700)-A,B717-A,B10-A,FL41-A,B710-A,Blue,708,
PerCP-Fire 780,PerCP Fire 780,PerCP-Fire780,,B14-A,B14-A,488CH28-A,B14 (780)-A,B784-A,B13-A,FL40-A,B750-A,Blue,774,
PerCP-Fire 806,PerCP Fire 806,PerCP-Fire806,,B14-A,B14-A,488CH32-A,B15 (810)-A,B815-A,B14-A,FL40-A,B810-A,Blue,806,
PE-Vio770,PE Vio770,PEVio770,,YG9-A,B13-A,561CH29-A,YG10 (780)-A,Y784-A,Y9-A,FL28-A,YG780-A,YellowGreen,775,
Qdot 525,Qdot525,,,V7-A,V7-A,355CH6-A,V7 (530)-A,V525-A,V6-A,FL14-A,V510-A,Violet,525,
Qdot 545,Qdot545,,,V8-A,V8-A,355CH8-A,V8 (545)-A,V543-A,V7-A,FL14-A,V540-A,Violet,545,
Qdot 565,Qdot565,,,V8-A,V8-A,355CH9-A,V9 (575)-A,V582-A,V8-A,FL12-A,V540-A,Violet,565,
Qdot 585,Qdot585,,,V9-A,V9-A,355CH11-A,V10 (590)-A,V582-A,V8-A,FL23-A,V576-A,Violet,585,
Qdot 605,Qdot605,,,V10-A,V10-A,405CH14-A,V11 (605)-A,V600-A,V9-A,FL23-A,V615-A,Violet,605,
Qdot 625,Qdot625,,,V10-A,V10-A,405CH14-A,V12 (625)-A,V618-A,V10-A,FL23-A,V615-A,Violet,625,
Qdot 655,Qdot655,,,V11-A,V11-A,405CH18-A,V13 (655)-A,V661-A,V11-A,FL22-A,V660-A,Violet,655,
Qdot 705,Qdot705,,,V13-A,V13-A,405CH21-A,V15 (700)-A,V700-A,V13-A,FL21-A,V710-A,Violet,705,
Qdot 800,Qdot800,,,V15-A,V15-A,405CH30-A,V19 (810)-A,V815-A,V18-A,FL20-A,V785-A,Violet,800,
R718,Red 718,,,R4-A,R4-A,637CH23-A,R4 (725)-A,R717-A,R4-A,FL43-A,R710-A,Red,718,
RB545,Real Blue 545,[RB545],,B3-A,B3-A,488CH8-A,B4 (545)-A,B543-A,B3-A,FL36-A,B537-A,Blue,545,
